label,sentence1,sentence2
1,"Desde agosto, médicos do Nordeste quebravam a cabeça para saber o que estava acontecendo, e a rede pública de Pernambuco alertou para a suspeita da conexão entre o vírus e a anomalia nos bebês Adriana Melo suspeitou que se estava diante de um novo padrão de microcefalia: ""Eu nunca tinha visto casos de destruição do cérebro dos fetos com tamanha virulência""",quebrar a cabeça
1,"Segundo o presidente palmeirense, o treinador Marcelo Oliveira terá de quebrar a cabeça para montar o time titular",quebrar a cabeça
0,Vê o que acontece quando planta uma semente e a deixa se tornar algo belo? É bom voltar à terra e sujar as mãos,sujar as mãos
0,Não participo da colheita faz um tempo. E vai ser bom para você cavar e sujar as mãos ,sujar as mãos
0,"Maravilhoso, para quem não gosta de sujar as mãos passando pano no chão",sujar as mãos
0,"Muito prático para limpar, sem sujar as mãos e torna a limpeza muito mais rápida",sujar as mãos
0,"O evento foi visto também como uma vitória do jornalismo tradicional, por vezes publicado em preto e branco com uma tinta que suja as mãos dos leitores",sujar as mãos
1,"O fato é que não dá para entrar em uma guerra sem sujar as mãos. A ilusão de que os ataques aéreos resolveriam a ""questão Estado Islâmico"" caiu por terra depois de Paris",sujar as mãos
1,"Um fator é a inapetência ocidental para sujar as mãos. Prova disso é o discurso de François Hollande falando em guerra, enquanto quem manda, Barack Obama, dizia não fazer sentido comprometer muitas tropas contra o EI",sujar as mãos
1,"Que tentem dormir tranquilos: para quem tem voz nesse país, ficar em silêncio é sujar as mãos",sujar as mãos
1,"No caso da acusação de lavagem de dinheiro, o ex-dirigente é descrito como alguém que não sujava as mãos com a parte operacional",sujar as mãos
1,"Mas os ""indignados"" locais preferem não sujar as mãos com a política partidária e eleitoral",sujar as mãos
0,O Batman tem que tirar a máscara e se entregar,tirar a máscara
0,"Ele me chamava para perto dele, ria e tirava a máscara de oxigênio",tirar a máscara
0,Eu estava vendado. E quando tirei a máscara ele saiu. Não pude ver seu rosto,tirar a máscara
0,"Eu não me importo com o que dizem Zorro não vai aparecer, não vai tirar a máscara e não vai casar com Anna Maria",tirar a máscara
0,"Ele, redimido de seus pecados, pede para Luke tirar a máscara, para vê-lo com os próprios olhos uma última vez",tirar a máscara
0,No encerramento do programa ele tirou a máscara e revelou seu rosto,tirar a máscara
0,"Bolsonaro tirou a máscara durante a entrevista, mandou a repórter e sua própria equipe calar a boca",tirar a máscara
1,"Rabello diz que, quando certas pessoas conquistam algo, tiram a máscara",tirar a máscara
0,Há como que uma liberdade flutuante em torno desse homem de cabelos brancos desgrenhados que não tira o chapéu dandino de gaúcho que morou em Paris e adora rock'n'roll,tirar o chapéu
0,"Se tirar o chapéu do St James Place, tudo vai pelos ares!",tirar o chapéu
0,"Quanto atrevimento é esse de entrar no meu quarto dessa forma. Onde está o teu treino? E tira o chapéu! Não é Domingo, é Sábado",tirar o chapéu
0,Eu quero que fique realmente bonita. Melhor tirar o chapéu e os óculos dele. Excelente ideia!,tirar o chapéu
0,"Agora preciso ver se consigo tirar o chapéu do lixo. Vamos, Watson, o jogo está rolando",tirar o chapéu
1,"No Palmeiras temos um mecenas na presidência e no Santos tem sido preciso recorrer a outro mecenas, que já presidiu o clube, para sobreviver, embora seja de tirar o chapéu o trabalho nas categorias de base, que não para de revelar talentos",tirar o chapéu
1,"Mas um alto executivo, com passagem pelo governo, tira o chapéu para o modo como Banco Central e Tesouro apagaram ontem o incêndio do dólar e a explosão das taxas de juros",tirar o chapéu
1,"Essas experiências podem ter freado um pouco a fúria de sua persona roqueira, mas é preciso tirar o chapéu para os momentos em que Rod ressuscita interpretações incríveis",tirar o chapéu
1,"O ""corrido"" agora lançado cita ""El Chapo"" abertamente, diz que é preciso ""tirar o chapéu"" para ele e garante que ""hay Chapo para rato""",tirar o chapéu
1,A geração de pesquisadores da qual faço parte tira o chapéu para aqueles funcionários que trabalham duro para implementá-la,tirar o chapéu
0,"Ela vem da mandioca ralada, que é espremida e desidratada em chapa quente até virar pó",virar pó
0,Vampiros viram pó imediatamente após serem mortos,virar pó
0,"A atuação do xamã está relacionada ao uso que faz de um alucinógeno: as sementes de angico, que são maceradas até virarem pó e misturadas com um tipo especial de fumo",virar pó
0,"Pega a formiga torrada, e se não conseguir fazer a cinza, enrola em algodão fino, proteina do algodão ajuda a queimar e fazer mais rápido Tritura a formiga até virar pó",virar pó
0,Dentes e ossos fossilizados são frequentemente triturados até virar pó e utilizados em alguns ramos da medicina tradicional chinesa,virar pó
1,Bloomberg foi eleito pouco depois do 11 de Setembro Milhares de empregos tinham virado pó,virar pó
1,"O empresário, que apostou numa estratégia para tomar o controle de sua concorrente, agora teme que essa fatia vire pó",virar pó
1,"A associação se reunirá com o secretário-executivo, Luiz Eduardo Barata, para pedir que o ministério não anule as concessões, o que faria os contratos virarem pó",virar pó
1,"Hamilton começou a imprimir um ritmo alucinante e rapidamente colou em Rosberg. A vantagem, que era de quase 2s, virou pó em poucas voltas.",virar pó
1,"A presidente Dilma Rousseff está sendo criticada por não discursar no Dia do Trabalho, mas algumas de suas promessas feitas em anos anteriores viraram pó diante de novos cenários",virar pó
0,Espere aí! Não dá para ver estrelas cadentes de dia,ver estrelas
0,"Você vê alguma coisa? Eu só vejo estrelas! Continue observando, as vezes leva um minuto para seus olhos verem",ver estrelas
0,"Já viu estrelas tão brilhantes, Homer? Abençoada seja a beleza de nosso Senhor, Amém",ver estrelas
0,"Um localizador de estrelas! Isto é um localizador, para ver estrelas e planetas a olho nu",ver estrelas
0,"Onde é o norte. Se olhar para o céu, mesmo sendo de dia, pode ver estrelas. Isso é tão estranho",ver estrelas
1,Tomou uma pancada na ideia que chegou a ver estrelas,ver estrelas
1,Alguns veem estrelas quando batem a cabeça. Eu vejo dor,ver estrelas
1,A cabeça foi atingida com muita força e agora ele só vê estrelas! Ficou louco de pedra! Confusão em sua mente,ver estrelas
1,Está coisa está me sufocando! Já estou vendo estrelas! Não estou sentindo as pernas direito,ver estrelas
1,"Não, contra um tacape deste tamanho e vi estrelas. Ficou escuro, desmaiei e me trouxeram aqui",ver estrelas
0,Os policiais andarão entre os torcedores sem farda e poderão até vestir a camisa da torcida em que estiverem infiltrados.,vestir a camisa
0,O outro morto vestia a camisa do São Paulo,vestir a camisa
0,"Torcedores de todos os países do continente vestem a camisa da seleção brasileira e, com forte sotaque castelhano, gritam ""Brasil"" no estádio",vestir a camisa
0,"Tardelli jogou ao lado dos ex-corintianos Roberto Carlos e Jucilei Ele vestiu a camisa de número 9, número com o qual se destacou no Atlético Mineiro",vestir a camisa
0,"Lucas ofereceu 50 dólares a figurantes que vestissem a camisa da campanha, com o slogan ""Faça a América Incrível de Novo""",vestir a camisa
1,Eleitores vestem a camisa de seus candidatos e ideologias nesta corrida presidencial,vestir a camisa
1,"Amadeo não é filiado ao PT mas diz que, uma hora, tem que se vestir a camisa.",vestir a camisa
1,"A partir de 1987, ele vestiu a camisa de liberal, numa atitude pragmática diante da crise econômica, agravada por sanções impostas pelos EUA e ONU desde 1977 e pela saída de empresas do país.",vestir a camisa
1,Nada menos que 83% dos argentinos e 77% dos brasileiros dizem que preferem construir uma carreira de acordo com seus próprios interesses do que vestir a camisa da empresa.,vestir a camisa
1,"E a Equipe Furnas, com 40 atletas, dá essa percepção de que eles realmente vestem a camisa da empresa",vestir a camisa
0,Em seus livros tenta fazer o leitor virar a página.,virar a página
0,"Ele encontra uma revista semanal de hoje: na capa Sarajevo, abre e encontra o Club Mediterranée, vira a página e há um serviço contra o alcoolismo, depois uma propaganda de Chivas Regal com umas garotas incríveis",virar a página
0,"Em todo caso, guie-se pelo o que há de mais óbvio, escreva um livro que suscite a curiosidade do leitor, que faça com que ele vire a página",virar a página
0,"Um dos prazeres dessa leitura é que, quando você vira a página, não tem certeza de quem será o próximo narrador",virar a página
0,"Desta vez eu vinha lendo ""O Ramo de Ouro"", numa edição inglesa de 1922, e ao virar a página 35 dei com uma carta endereçada a Sergio de Hollander",virar a página
1,Ganharam em virar a página da crise da dívida externa que já se arrastava por quase 14 anos criando novas oportunidades de intermediação.,virar a página
1,"A marca genial de Charlie Bird Parker (1920-1955) quase se confunde com o bebop, o estilo nervoso e iconoclasta que virou a página do jazz moderno, em meados dos anos 40.",virar a página
1,Com sua luta viraram a página negra que acompanhava os judeus e com sua morte registraram um novo capítulo da história do povo hebreu.,virar a página
1,O PSDB já virou a página das prévias e trabalha tão somente para tornar conhecido seu candidato e estruturar suas propostas,virar a página
1,"Além de tentar virar a página para que as empreiteiras voltem a trabalhar para o setor público, é importante, segundo esses conselheiros, ter novas regras para alterar o ambiente propício à corrupção",virar a página
